# department_id	name	leader	phone
DEP20231101090000000	内科	宗珊思	0755-5925399
DEP20231101100000000	外科	苍昌恩	0755-4205747
DEP20231101110000000	儿科	鄂兰	0755-1934091
DEP20231101120000000	骨科	詹峰涛	0755-4958485
DEP20231101130000000	心内科	林博琳	0755-1650990
DEP20231101140000000	神经内科	史涛国	0755-1588112
DEP20231101150000000	呼吸内科	雷颖	0755-6101975
DEP20231101160000000	消化内科	茹雯龙	0755-3759243
DEP20231101170000000	肾内科	下梅婷	0755-5257983
DEP20231101180000000	内分泌科	岑飞耀	0755-7530517
DEP20231101190000000	妇产科	宓明峰	0755-7157534
DEP20231101200000000	眼科	勾安娜	0755-5338100
DEP20231101210000000	耳鼻喉科	梅雪宇	0755-4522397
DEP20231101220000000	口腔科	柳丽飞	0755-1072559
DEP20231101230000000	皮肤科	莘信菊	0755-3601321
DEP20231102000000000	肿瘤科	邓娥勇	0755-6226823
DEP20231102010000000	急诊科	姜良龙	0755-4020601
DEP20231102020000000	康复科	武柔飞	0755-2612939
DEP20231102030000000	中医科	应晨倩	0755-7770669
DEP20231102040000000	感染科	卜梅	0755-5080123
DEP20231102050000000	血液科	荀恩萱	0755-3919112
DEP20231102060000000	风湿免疫科	彭海斌	0755-6955270
DEP20231102070000000	胸外科	慕丽	0755-3113598
DEP20231102080000000	肝胆外科	仰丽	0755-5461161
DEP20231102090000000	泌尿外科	於英萍	0755-5640733
DEP20231102100000000	神经外科	狄雨涛	0755-4876801
DEP20231102110000000	整形外科	阴涛怡	0755-6400170
DEP20231102120000000	血管外科	仇耀远	0755-5881758
DEP20231102130000000	烧伤科	下耀秀	0755-8285437
DEP20231102140000000	老年病科	狄红敏	0755-2952330
DEP20231102150000000	病理科	张斌	0755-2199042
DEP20231102160000000	检验科	程柔远	0755-8463201
DEP20231102170000000	影像科	康雨	0755-6629902
DEP20231102180000000	超声科	侯辉玲	0755-5580841
DEP20231102190000000	核医学科	夏华	0755-8695965
DEP20231102200000000	放疗科	山恩	0755-1896432
DEP20231102210000000	麻醉科	左恩军	0755-9209552
DEP20231102220000000	ICU	隗花礼	0755-6314153
DEP20231102230000000	营养科	满洁琴	0755-5242263
DEP20231103000000000	精神心理科	辛诚刚	0755-5555794
DEP20231103010000000	疼痛科	蓝安安	0755-4531292
DEP20231103020000000	介入科	须萱国	0755-3474580
DEP20231103030000000	透析中心	金承	0755-5467208
DEP20231103040000000	体检中心	尤月正	0755-4602154
DEP20231103050000000	生殖医学中心	勾凤远	0755-4892921
DEP20231103060000000	睡眠医学中心	璩慧光	0755-7337680
DEP20231103070000000	过敏反应科	平凤	0755-3050969
DEP20231103080000000	运动医学科	幸柔	0755-9641780
DEP20231103090000000	性病科	段康洁	0755-4381931
DEP20231103100000000	职业病科	山花志	0755-4795776
DEP20231103110000000	预防保健科	景文雨	0755-5507659
DEP20231103120000000	中西医结合科	勾宇耀	0755-7814846
DEP20231103130000000	全科医学科	堵菊良	0755-5516824
DEP20231103140000000	舒缓医学科	沙良	0755-1521047
DEP20231103150000000	分子医学中心	路志	0755-2174275
DEP20231103160000000	干细胞治疗中心	沙龙德	0755-7721773
DEP20231103170000000	精准医学中心	耿博花	0755-4465528
DEP20231103180000000	器官移植中心	雷菊静	0755-5154086
DEP20231103190000000	微创外科中心	屈仁怡	0755-9681842
