# doctor_id	username	name	department_id	title	busy_level
A0001	doctor1	窦倩花	DEP2023110109000000	副主任护师	4
A0002	doctor_a0002	勾菊博	DEP2023110109000000	副教授	1
A0003	doctor_a0003	甘飞东	DEP2023110109000000	教授	5
A0004	doctor_a0004	叶斌志	DEP2023110109000000	首席专家	1
A0005	doctor_a0005	滕萱飞	DEP2023110109000000	主任医师	3
B0001	doctor_b0001	殷博国	DEP2023110110000000	主任药师	4
B0002	doctor_b0002	鞠阳君	DEP2023110110000000	医学博士	3
B0003	doctor_b0003	池静建	DEP2023110110000000	副主任医师	2
B0004	doctor_b0004	穆瑞博	DEP2023110110000000	教授	0
C0001	doctor_c0001	韶博飞	DEP2023110111000000	首席专家	5
C0002	doctor_c0002	庄红耀	DEP2023110111000000	住院医师	5
C0003	doctor_c0003	满文东	DEP2023110111000000	返聘专家	1
C0004	doctor_c0004	邬勇	DEP2023110111000000	副教授	0
C0005	doctor_c0005	邰慧秀	DEP2023110111000000	首席专家	5
C0006	doctor_c0006	苗兰辉	DEP2023110111000000	主任护师	3
D0001	doctor_d0001	严妍珊	DEP2023110112000000	主治医师	4
D0002	doctor_d0002	柯辉	DEP2023110112000000	学科带头人	4
D0003	doctor_d0003	魏芳柔	DEP2023110112000000	主管护师	2
E0001	doctor_e0001	王洁振	DEP2023110113000000	医学博士	1
E0002	doctor_e0002	陶康东	DEP2023110113000000	返聘专家	5
F0001	doctor_f0001	成飞萍	DEP2023110114000000	学科带头人	0
F0002	doctor_f0002	那礼宗	DEP2023110114000000	主管护师	3
F0003	doctor_f0003	项妍明	DEP2023110114000000	学科带头人	2
F0004	doctor_f0004	芮正	DEP2023110114000000	副教授	5
G0001	doctor_g0001	步远华	DEP2023110115000000	首席专家	1
G0002	doctor_g0002	简雪祖	DEP2023110115000000	副教授	2
G0003	doctor_g0003	危义德	DEP2023110115000000	主管护师	1
G0004	doctor_g0004	邰君龙	DEP2023110115000000	副教授	2
G0005	doctor_g0005	黎永鹏	DEP2023110115000000	副主任护师	2
H0001	doctor_h0001	纪东晨	DEP2023110116000000	副教授	3
H0002	doctor_h0002	卻雯雪	DEP2023110116000000	学科带头人	3
H0003	doctor_h0003	陆刚娥	DEP2023110116000000	医学博士	1
H0004	doctor_h0004	侯霞燕	DEP2023110116000000	副教授	2
H0005	doctor_h0005	沈秀礼	DEP2023110116000000	主任医师	5
I0001	doctor_i0001	舒仁丽	DEP2023110117000000	副主任护师	5
I0002	doctor_i0002	蔚义颖	DEP2023110117000000	医学博士	0
J0001	doctor_j0001	俞桐安	DEP2023110118000000	首席专家	4
J0002	doctor_j0002	咸慧	DEP2023110118000000	副主任药师	3
J0003	doctor_j0003	蒲慧梅	DEP2023110118000000	副主任药师	1
K0001	doctor_k0001	暴远妍	DEP2023110119000000	主任药师	0
K0002	doctor_k0002	容远旭	DEP2023110119000000	学科带头人	0
K0003	doctor_k0003	胥振浩	DEP2023110119000000	副主任药师	4
K0004	doctor_k0004	冉芳	DEP2023110119000000	主管护师	3
K0005	doctor_k0005	籍明强	DEP2023110119000000	首席专家	0
K0006	doctor_k0006	丰婷承	DEP2023110119000000	首席专家	2
L0001	doctor_l0001	章云	DEP2023110120000000	住院医师	2
L0002	doctor_l0002	熊云蓉	DEP2023110120000000	副主任护师	3
L0003	doctor_l0003	黎宁	DEP2023110120000000	首席专家	5
L0004	doctor_l0004	倪红昌	DEP2023110120000000	副主任护师	1
M0001	doctor_m0001	柏诚倩	DEP2023110121000000	住院医师	1
M0002	doctor_m0002	弘飞	DEP2023110121000000	首席专家	4
M0003	doctor_m0003	和昌	DEP2023110121000000	主任护师	4
M0004	doctor_m0004	贡远瑞	DEP2023110121000000	主任医师	4
M0005	doctor_m0005	能洁	DEP2023110121000000	副主任护师	5
N0001	doctor_n0001	邬蓉	DEP2023110122000000	副主任医师	0
N0002	doctor_n0002	曾振珊	DEP2023110122000000	主任护师	4
O0001	doctor_o0001	计礼	DEP2023110123000000	主管护师	1
O0002	doctor_o0002	陈峰明	DEP2023110123000000	副主任医师	4
O0003	doctor_o0003	崔勇恩	DEP2023110123000000	副教授	2
P0001	doctor_p0001	赖振丽	DEP2023110200000000	返聘专家	0
P0002	doctor_p0002	殳毅	DEP2023110200000000	医学博士	4
Q0001	doctor_q0001	潘海	DEP2023110201000000	副教授	3
Q0002	doctor_q0002	邹玲霞	DEP2023110201000000	主任医师	2
Q0003	doctor_q0003	高倩菊	DEP2023110201000000	住院医师	4
Q0004	doctor_q0004	徐博洁	DEP2023110201000000	副教授	2
Q0005	doctor_q0005	赖珊君	DEP2023110201000000	副主任医师	1
R0001	doctor_r0001	麴诚承	DEP2023110202000000	主治医师	3
R0002	doctor_r0002	郏菊雨	DEP2023110202000000	住院医师	3
R0003	doctor_r0003	江瑞	DEP2023110202000000	副教授	4
R0004	doctor_r0004	鞠康	DEP2023110202000000	副主任护师	0
R0005	doctor_r0005	宁杰琴	DEP2023110202000000	主任医师	0
S0001	doctor_s0001	俞军晨	DEP2023110203000000	返聘专家	0
S0002	doctor_s0002	卻秀平	DEP2023110203000000	首席专家	1
S0003	doctor_s0003	康强磊	DEP2023110203000000	主任护师	2
S0004	doctor_s0004	益凤柔	DEP2023110203000000	住院医师	3
S0005	doctor_s0005	曹花飞	DEP2023110203000000	主任药师	1
T0001	doctor_t0001	厉义云	DEP2023110204000000	副教授	4
T0002	doctor_t0002	陶康	DEP2023110204000000	住院医师	4
T0003	doctor_t0003	虞琴月	DEP2023110204000000	医学博士	5
T0004	doctor_t0004	平柔霞	DEP2023110204000000	医学博士	4
T0005	doctor_t0005	柴月浩	DEP2023110204000000	主治医师	4
U0001	doctor_u0001	干辉恩	DEP2023110205000000	主任医师	0
U0002	doctor_u0002	逯仁	DEP2023110205000000	副主任医师	3
U0003	doctor_u0003	梅宗正	DEP2023110205000000	副主任药师	4
V0001	doctor_v0001	穆浩承	DEP2023110206000000	主任护师	5
V0002	doctor_v0002	庾雨	DEP2023110206000000	主任医师	4
W0001	doctor_w0001	车德	DEP2023110207000000	副教授	1
W0002	doctor_w0002	林芳丽	DEP2023110207000000	学科带头人	3
W0003	doctor_w0003	庾光	DEP2023110207000000	首席专家	5
X0001	doctor_x0001	公婷雨	DEP2023110208000000	首席专家	5
X0002	doctor_x0002	简良洁	DEP2023110208000000	医学博士	5
X0003	doctor_x0003	芮萍刚	DEP2023110208000000	首席专家	1
Y0001	doctor_y0001	翁萱蓉	DEP2023110209000000	教授	1
Y0002	doctor_y0002	翟文婷	DEP2023110209000000	返聘专家	5
Y0003	doctor_y0003	经刚	DEP2023110209000000	主管护师	3
Y0004	doctor_y0004	乔耀兰	DEP2023110209000000	主任药师	2
Y0005	doctor_y0005	秋刚娟	DEP2023110209000000	学科带头人	0
Z0001	doctor_z0001	空妍	DEP2023110210000000	主管护师	5
Z0002	doctor_z0002	殷毅静	DEP2023110210000000	主任护师	5
Z0003	doctor_z0003	李伟承	DEP2023110210000000	主任医师	4
Z0004	doctor_z0004	濮伟娥	DEP2023110210000000	主任药师	0
Z0005	doctor_z0005	昝思珍	DEP2023110211000000	住院医师	0
Z0006	doctor_z0006	井承	DEP2023110211000000	学科带头人	2
Z0007	doctor_z0007	璩泽浩	DEP2023110211000000	主治医师	5
Z0008	doctor_z0008	滑凤燕	DEP2023110211000000	主任医师	3
Z0009	doctor_z0009	燕兰思	DEP2023110211000000	主治医师	5
Z0010	doctor_z0010	蒙正	DEP2023110212000000	副教授	3
Z0011	doctor_z0011	怀华涛	DEP2023110212000000	返聘专家	2
Z0012	doctor_z0012	隆刚娜	DEP2023110212000000	返聘专家	0
Z0013	doctor_z0013	聂云君	DEP2023110212000000	住院医师	3
Z0014	doctor_z0014	谢耀菊	DEP2023110212000000	教授	4
Z0015	doctor_z0015	龚娥国	DEP2023110213000000	主任护师	1
Z0016	doctor_z0016	车云	DEP2023110213000000	主任医师	5
Z0017	doctor_z0017	娄远思	DEP2023110213000000	主治医师	1
Z0018	doctor_z0018	公祖秀	DEP2023110214000000	返聘专家	3
Z0019	doctor_z0019	周峰明	DEP2023110214000000	教授	3
Z0020	doctor_z0020	苏礼良	DEP2023110214000000	主治医师	0
Z0021	doctor_z0021	刘杰娜	DEP2023110214000000	主任药师	2
Z0022	doctor_z0022	谷红东	DEP2023110215000000	主治医师	1
Z0023	doctor_z0023	祖兰博	DEP2023110215000000	副主任护师	1
Z0024	doctor_z0024	蓬昌婷	DEP2023110215000000	副教授	2
Z0025	doctor_z0025	荣怡耀	DEP2023110215000000	主治医师	2
Z0026	doctor_z0026	冷雨雨	DEP2023110215000000	主任医师	1
Z0027	doctor_z0027	蓝文凤	DEP2023110216000000	医学博士	5
Z0028	doctor_z0028	殷秀国	DEP2023110216000000	副教授	1
Z0029	doctor_z0029	阴瑞文	DEP2023110216000000	主管护师	0
Z0030	doctor_z0030	葛君辉	DEP2023110216000000	副教授	0
Z0031	doctor_z0031	饶柔	DEP2023110217000000	副教授	5
Z0032	doctor_z0032	金燕	DEP2023110217000000	住院医师	0
Z0033	doctor_z0033	邹德毅	DEP2023110218000000	主任药师	0
Z0034	doctor_z0034	宁博	DEP2023110218000000	副主任药师	0
Z0035	doctor_z0035	茅浩永	DEP2023110218000000	主任药师	1
Z0036	doctor_z0036	曹杰华	DEP2023110218000000	返聘专家	5
Z0037	doctor_z0037	邱博国	DEP2023110218000000	副主任药师	3
Z0038	doctor_z0038	柴承月	DEP2023110219000000	教授	0
Z0039	doctor_z0039	养志思	DEP2023110219000000	主任药师	1
Z0040	doctor_z0040	邬蓉珊	DEP2023110219000000	副主任护师	0
Z0041	doctor_z0041	易光燕	DEP2023110219000000	主管护师	3
Z0042	doctor_z0042	童勇萍	DEP2023110220000000	主任护师	3
Z0043	doctor_z0043	姬文月	DEP2023110220000000	副主任药师	5
Z0044	doctor_z0044	终月颖	DEP2023110221000000	主任药师	2
Z0045	doctor_z0045	充诚文	DEP2023110221000000	医学博士	1
Z0046	doctor_z0046	屠英瑞	DEP2023110221000000	返聘专家	1
Z0047	doctor_z0047	霍强桐	DEP2023110222000000	主任药师	5
Z0048	doctor_z0048	田琴泽	DEP2023110222000000	副主任药师	4
Z0049	doctor_z0049	石远文	DEP2023110222000000	主任护师	5
Z0050	doctor_z0050	充智礼	DEP2023110223000000	教授	5
Z0051	doctor_z0051	元永娥	DEP2023110223000000	首席专家	2
Z0052	doctor_z0052	匡瑞月	DEP2023110223000000	住院医师	4
Z0053	doctor_z0053	花勇花	DEP2023110223000000	主任药师	0
Z0054	doctor_z0054	鄂萍承	DEP2023110223000000	返聘专家	5
Z0055	doctor_z0055	滑远文	DEP2023110300000000	主任医师	4
Z0056	doctor_z0056	明宇云	DEP2023110300000000	主任药师	3
Z0057	doctor_z0057	寇萱娜	DEP2023110300000000	住院医师	2
Z0058	doctor_z0058	习飞磊	DEP2023110300000000	首席专家	3
Z0059	doctor_z0059	常英雨	DEP2023110300000000	教授	0
Z0060	doctor_z0060	饶珍月	DEP2023110301000000	主任护师	0
Z0061	doctor_z0061	养峰英	DEP2023110301000000	主任护师	4
Z0062	doctor_z0062	贝志军	DEP2023110301000000	主任药师	0
Z0063	doctor_z0063	韩康珊	DEP2023110301000000	副主任药师	3
Z0064	doctor_z0064	丁远君	DEP2023110301000000	学科带头人	2
Z0065	doctor_z0065	侯梅勇	DEP2023110302000000	副教授	3
Z0066	doctor_z0066	富仁恩	DEP2023110302000000	副主任护师	3
Z0067	doctor_z0067	高凤志	DEP2023110302000000	主管护师	3
Z0068	doctor_z0068	弘守	DEP2023110302000000	教授	2
Z0069	doctor_z0069	曾辉正	DEP2023110302000000	主任医师	0
Z0070	doctor_z0070	蓬君燕	DEP2023110303000000	教授	5
Z0071	doctor_z0071	蒋平宇	DEP2023110303000000	副主任医师	4
Z0072	doctor_z0072	储刚秀	DEP2023110304000000	教授	4
Z0073	doctor_z0073	华慧守	DEP2023110304000000	医学博士	1
Z0074	doctor_z0074	纪昌琳	DEP2023110305000000	副主任护师	1
Z0075	doctor_z0075	薄文蓉	DEP2023110305000000	医学博士	5
Z0076	doctor_z0076	桓志宗	DEP2023110305000000	教授	1
Z0077	doctor_z0077	童斌	DEP2023110305000000	教授	3
Z0078	doctor_z0078	管礼浩	DEP2023110306000000	副主任护师	4
Z0079	doctor_z0079	郭军承	DEP2023110306000000	副主任医师	1
Z0080	doctor_z0080	满蓉雯	DEP2023110306000000	首席专家	4
Z0081	doctor_z0081	养斌强	DEP2023110306000000	主治医师	4
Z0082	doctor_z0082	牧倩萱	DEP2023110307000000	教授	4
Z0083	doctor_z0083	安菊龙	DEP2023110307000000	主治医师	4
Z0084	doctor_z0084	卻志	DEP2023110307000000	主管护师	0
Z0085	doctor_z0085	宦文	DEP2023110308000000	副教授	4
Z0086	doctor_z0086	柳玲晨	DEP2023110308000000	学科带头人	4
Z0087	doctor_z0087	储珊玲	DEP2023110308000000	主任药师	5
Z0088	doctor_z0088	荆毅	DEP2023110309000000	主任医师	2
Z0089	doctor_z0089	和信	DEP2023110309000000	副主任护师	5
Z0090	doctor_z0090	鞠耀	DEP2023110309000000	主任护师	3
Z0091	doctor_z0091	俞飞萱	DEP2023110310000000	副主任药师	2
Z0092	doctor_z0092	文峰文	DEP2023110310000000	医学博士	3
Z0093	doctor_z0093	古雯	DEP2023110311000000	返聘专家	5
Z0094	doctor_z0094	喻毅东	DEP2023110311000000	主管护师	4
Z0095	doctor_z0095	阚君耀	DEP2023110312000000	教授	4
Z0096	doctor_z0096	赵君妍	DEP2023110312000000	副主任医师	0
Z0097	doctor_z0097	安玲	DEP2023110312000000	副主任护师	1
Z0098	doctor_z0098	霍怡宗	DEP2023110312000000	学科带头人	5
Z0099	doctor_z0099	项辉	DEP2023110313000000	主治医师	0
Z0100	doctor_z0100	仲宗萍	DEP2023110313000000	副教授	4
Z0101	doctor_z0101	能信兰	DEP2023110314000000	学科带头人	2
Z0102	doctor_z0102	苍远柔	DEP2023110314000000	副主任护师	5
Z0103	doctor_z0103	乜志振	DEP2023110314000000	主任医师	1
Z0104	doctor_z0104	詹平凤	DEP2023110314000000	副主任护师	3
Z0105	doctor_z0105	凌雪光	DEP2023110314000000	主任医师	3
Z0106	doctor_z0106	荀峰	DEP2023110315000000	医学博士	0
Z0107	doctor_z0107	单昌晨	DEP2023110315000000	主任医师	3
Z0108	doctor_z0108	罗强秀	DEP2023110315000000	医学博士	3
Z0109	doctor_z0109	巩云云	DEP2023110316000000	主任药师	1
Z0110	doctor_z0110	徐雨雨	DEP2023110316000000	教授	0
Z0111	doctor_z0111	能诚承	DEP2023110316000000	首席专家	2
Z0112	doctor_z0112	殷昌洁	DEP2023110316000000	主任药师	4
Z0113	doctor_z0113	沈飞晨	DEP2023110316000000	主任护师	4
Z0114	doctor_z0114	章承浩	DEP2023110317000000	副主任医师	4
Z0115	doctor_z0115	戚恩	DEP2023110317000000	学科带头人	0
Z0116	doctor_z0116	蒙英萱	DEP2023110317000000	副主任护师	5
Z0117	doctor_z0117	乔勇杰	DEP2023110317000000	学科带头人	0
Z0118	doctor_z0118	家娟耀	DEP2023110317000000	副主任医师	4
Z0119	doctor_z0119	焦远娥	DEP2023110318000000	主治医师	5
Z0120	doctor_z0120	饶燕明	DEP2023110318000000	住院医师	2
Z0121	doctor_z0121	康雨	DEP2023110319000000	副主任医师	2
Z0122	doctor_z0122	刘琳勇	DEP2023110319000000	首席专家	2
A0006	333	333	DEP2023110109000000	医师	1
